quarter,topic_id,mention_count,previous_count,growth,growth_rate,volume_norm,growth_norm,trend_score,document_count,average_toxicity,average_insult,average_threat,high_toxicity_percentage,topic_name,trend_status,toxicity_status
2025Q2,13,72,0.0,72.0,72.0,0.136986301369863,0.136986301369863,0.136986301369863,72,0.17515749351716497,0.06948862482952084,0.0038702557705821367,16.666666666666664,13_hes_fight_time_voice,Low,Low
2025Q2,14,66,0.0,66.0,66.0,0.12054794520547946,0.12054794520547946,0.12054794520547946,66,0.10860471217099323,0.04568094178565926,0.0010713141439764788,9.090909090909092,14_responsibility_people_businesses_workers,Low,Low
2025Q2,15,59,0.0,59.0,59.0,0.10136986301369863,0.10136986301369863,0.10136986301369863,61,0.07004508326597297,0.014936780783903144,0.00038817849298404745,4.918032786885246,15_charge_home_gas_miles,Low,Low
2025Q2,16,55,0.0,55.0,55.0,0.09041095890410958,0.09041095890410958,0.09041095890410958,55,0.079958431602625,0.02880512252026661,0.000307445207065691,7.2727272727272725,16_game_win_players_team,Low,Low
2025Q2,17,53,0.0,53.0,53.0,0.08493150684931508,0.08493150684931508,0.08493150684931508,53,0.033746073350863846,0.0026675207959927336,0.005629097710485474,3.7735849056603774,17_indian_canada_water_terrorist,Low,Low
2025Q2,18,51,0.0,51.0,51.0,0.07945205479452055,0.07945205479452055,0.07945205479452055,51,0.053492080156609195,0.006119952336245892,0.00024706893400791303,1.9607843137254901,18_ai_brain_learning_use,Low,Low
2025Q2,19,51,0.0,51.0,51.0,0.07945205479452055,0.07945205479452055,0.07945205479452055,51,0.022641389412741523,0.00761757646265038,0.0003892324938194589,1.9607843137254901,19_automatically_action_contact_performed,Low,Low
2025Q2,20,41,0.0,41.0,41.0,0.05205479452054794,0.05205479452054794,0.05205479452054794,42,0.37625762036519256,0.10133800943973863,0.0025749851932535726,38.095238095238095,20_water_picking_laugh_crying,Low,Medium
2025Q2,21,39,0.0,39.0,39.0,0.04657534246575343,0.04657534246575343,0.04657534246575343,39,0.01667221805277782,0.0007717813908432921,0.00020769578277861746,0.0,21_play_send_sent_thank,Low,Low
2025Q2,22,35,0.0,35.0,35.0,0.035616438356164376,0.035616438356164376,0.035616438356164376,35,0.06455394239830119,0.03145627744919953,0.001279407121182885,5.714285714285714,22_china_eu_russia_political,Low,Low
2025Q2,23,33,0.0,33.0,33.0,0.030136986301369864,0.030136986301369864,0.030136986301369864,33,0.006351669216669645,0.0003112327152242263,0.0001357712012990801,0.0,23_thanks_thank_nice_reply,Low,Low
2025Q2,24,32,0.0,32.0,32.0,0.0273972602739726,0.0273972602739726,0.0273972602739726,32,0.09049826161935925,0.0302777892834456,0.00035368115618439333,9.375,24_meat_food_eat_products,Low,Low
2025Q2,25,28,0.0,28.0,28.0,0.016438356164383564,0.016438356164383564,0.016438356164383564,28,0.03864076631309997,0.015333266249009674,0.0001731170011355841,3.571428571428571,25_series_story_read_issue,Low,Low
2025Q2,26,27,0.0,27.0,27.0,0.0136986301369863,0.0136986301369863,0.0136986301369863,27,0.33191426041432553,0.15420250021270476,0.0020969521307658092,29.629629629629626,26_racist_black_white_matter,Low,Medium
2025Q2,28,27,0.0,27.0,27.0,0.0136986301369863,0.0136986301369863,0.0136986301369863,27,0.172497039988499,0.04640188198256375,0.00045994459354982675,18.51851851851852,28_leadership_company_blue_tech,Low,Low
2025Q2,27,26,1.0,25.0,12.5,0.010958904109589038,0.008219178082191775,0.009863013698630133,27,0.00811648031015432,0.0003457542630645481,0.00014144743693544082,0.0,27_space_rockets_tip_gas,Low,Low
2025Q2,29,23,0.0,23.0,23.0,0.002739726027397263,0.002739726027397263,0.002739726027397263,23,0.19276171903702957,0.05064758420896554,0.024686696167602506,21.73913043478261,29_police_rights_ice_human,Low,Low
2025Q2,30,22,0.0,22.0,22.0,0.0,0.0,0.0,22,0.0872825534500986,0.018190779801278204,0.0002833272688307757,9.090909090909092,30_money_spend_palantir_political,Low,Low
